CVE-2016-6787: Fixed with 3.16.40
CVE-2016-6828: Fixed with 3.16.39
CVE-2016-7042: Fixed with 3.16.39
CVE-2016-7097: Fixed with 3.16.39
CVE-2016-7117: Fixed with 3.16.35
CVE-2016-7425: Fixed with 3.16.39
CVE-2016-7910: Fixed with 3.16.39
CVE-2016-7911: Fixed with 3.16.37
CVE-2016-7912: Fixed with 3.16.40
CVE-2016-7913: Fixed with 3.16.35
CVE-2016-7914: Fixed with 3.16.36
CVE-2016-7915: Fixed with 3.16.40
CVE-2016-7916: Fixed with 3.16.36
CVE-2016-7917: Fixed with 3.16.40
CVE-2016-8405: Fixed with 3.16.40
CVE-2016-8632: Fixed with 3.16.40
CVE-2016-8633: Fixed with 3.16.39
CVE-2016-8645: Fixed with 3.16.40
CVE-2016-8646: Fixed with 3.16.35
CVE-2016-8650: Fixed with 3.16.40
CVE-2016-8655: Fixed with 3.16.40
CVE-2016-8658: Fixed with 3.16.39
CVE-2016-8666: Fixed with 3.16.35
CVE-2016-9083: Fixed with 3.16.39
CVE-2016-9084: Fixed with 3.16.39
CVE-2016-9120: Fixed with 3.16.40
CVE-2016-9178: Fix not seen in stream
CVE-2016-9191: Fixed with 3.16.40
CVE-2016-9555: Fixed with 3.16.40
CVE-2016-9588: Fixed with 3.16.41
CVE-2016-9604: Fixed with 3.16.44
CVE-2016-9644: Fix not seen in stream
CVE-2016-9685: Fixed with 3.16.35
CVE-2016-9754: Fixed with 3.16.37
CVE-2016-9793: Fixed with 3.16.40
CVE-2016-9794: Fixed with 3.16.40
CVE-2016-9806: Fixed with 3.16.37
CVE-2017-0750: Fix not seen in stream
CVE-2017-1000111: Fixed with 3.16.47
CVE-2017-1000112: Fixed with 3.16.47
CVE-2017-1000251: Fix not seen in stream
CVE-2017-1000252: Fix not seen in stream
CVE-2017-1000253: Fixed with 3.16.35
CVE-2017-1000363: Fixed with 3.16.46
CVE-2017-1000364: Fixed with 3.16.45
CVE-2017-1000365: Fixed with 3.16.46
CVE-2017-1000379: Fixed with 3.16.45
CVE-2017-1000380: Fixed with 3.16.46
CVE-2017-10661: Fixed with 3.16.47
CVE-2017-10662: Fix not seen in stream
CVE-2017-10663: Fix not seen in stream
CVE-2017-10810: Fix not seen in stream
CVE-2017-10911: Fixed with 3.16.46
CVE-2017-11176: Fixed with 3.16.47
CVE-2017-11472: Fix not seen in stream
CVE-2017-11473: Fix not seen in stream
CVE-2017-11600: Fixed with 3.16.48
CVE-2017-12134: Fixed with 3.16.48
CVE-2017-12153: Fix not seen in stream
